ticker,name,sector,first_date,last_date,n_days,short_history,active
4006.SR,Saudi Marketing Co.,Consumer Staples,2014-02-16,2026-09-22,3158,False,True
4007.SR,Al Hammadi Company for Development and Investment,Health Care,2014-07-15,2026-09-22,3051,False,True
4008.SR,Saudi Company for Hardware,Consumer Discretionary,2015-05-12,2026-09-22,2848,False,True
4009.SR,Middle East Healthcare Co.,Health Care,2016-03-29,2026-09-22,2627,False,True
4011.SR,Lazurde Company for Jewelry,Consumer Discretionary,2016-06-29,2026-09-22,2561,False,True
4012.SR,Thob Al Aseel Co.,Consumer Discretionary,2017-06-15,2026-09-22,2311,False,True
4020.SR,Saudi Real Estate Co.,Real Estate,2001-12-31,2026-09-22,6401,False,True
4030.SR,National Shipping Company of Saudi Arabia,Energy,2001-12-31,2026-09-22,6400,False,True
4031.SR,Saudi Ground Services Co.,Industrials,2015-06-25,2026-09-22,2816,False,True
4040.SR,Saudi Public Transport Co.,Industrials,2001-12-31,2026-09-22,6403,False,True
4050.SR,Saudi Automotive Services Co.,Consumer Discretionary,2001-12-31,2026-09-22,6404,False,True
4051.SR,Baazeem Trading Co.,Consumer Discretionary,2017-02-26,2026-09-22,2391,False,True
4061.SR,Anaam International Holding Group,Consumer Staples,2001-12-31,2026-09-22,5875,False,True
4070.SR,Tihama Advertising and Public Relations Co.,Communication Services,2001-12-31,2026-09-22,6340,False,True
4080.SR,"Aseer Trading, Tourism and Manufacturing Co.",Financials,2002-01-06,2026-09-22,6357,False,True
4090.SR,Taiba Investments Co.,Real Estate,2001-12-31,2026-09-22,6403,False,True
4100.SR,Makkah Construction and Development Co.,Real Estate,2001-12-31,2026-09-22,6403,False,True
4110.SR,Batic Investments and Logistics Co.,Industrials,2001-12-31,2026-09-22,6403,False,True
4130.SR,Al-Baha Investment and Development Co.,Financials,2001-12-31,2026-09-22,6051,False,True
